id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00233000000004250000,00233000000004250001,9576860_2_1,1979-1-1,1983-1-1,00133000000000000000,浙江省,00333333300000194000,浙江大学,00333333300000194000,
00250000000039436000,00250000000039436005,9578326_5,1988-9-1,1992-7-1,00150000000000000000,重庆市,00333333300000813000,重庆师范学院,00333333300000813000,
00250000000039436000,00250000000039436006,9578326_6,1992-7-1,1994-9-1,00150000000000000000,重庆市,00333333300000500000,重庆建筑大学,00333333300000500000,
00250000000023867000,00250000000023867003,9578353_3,2001-3-1,2002-1-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000023867000,00250000000023867004,9578353_4,2003-9-1,2007-1-1,00143092100000000000,益阳市南县,00333333300001379000,西南大学,00333333300001379000,
00250000000023867000,00250000000023867005,9578353_5,2009-3-1,2009-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000023867000,00250000000023867006,9578353_6,1980-8-1,1984-7-1,00143092100000000000,益阳市南县,00333333300000589000,西南农学院,00333333300000589000,
00250000000039357000,00250000000039357002,9578441_2,1991-9-1,1993-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000039357000,00250000000039357004,9578441_4,1982-9-1,1985-8-1,00151000000000000000,四川省,00333333300000753000,四川省奉节县师范学校,00333333300000753000,
00250000000039357000,00250000000039357006,9578441_6,1987-8-1,1989-6-1,00151000000000000000,四川省,00333333300001485000,四川电大大学,00333333300001485000,
00243082200000805000,00243082200000805005,9578503_3_7,0-1-1,0-1-1,00134052300000000000,马鞍山市和县,00333333300000017000,清华大学,00333333300000017000,
00250000000025422000,00250000000025422001,9578636_1,1991-8-1,1994-6-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000025422000,00250000000025422002,9578636_2,1996-9-1,1998-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250023600031008000,00250023600031008002,9578706_2,1987-9-1,1990-7-1,00151000000000000000,四川省,00333333300000219000,四川广播电视大学,00333333300000219000,
00250023600031008000,00250023600031008003,9578706_3,1995-9-1,1997-12-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250023600031008000,00250023600031008009,9578706_9,1979-9-1,1981-7-1,00151000000000000000,四川省,00333333300000753000,四川省奉节县师范学校,00333333300000753000,
00250023700005224000,00250023700005224001,9578730_1,1981-9-1,1984-12-1,00131020000000000000,上海市县,00333333300000036000,万县教育学院,00333333300000036000,
00250023700005224000,00250023700005224002,9578730_2,1987-7-1,1990-6-1,00143092100000000000,益阳市南县,00333333300000037000,西南师范大学,00333333300000037000,
00250023700005224000,00250023700005224005,9578730_5,1978-9-1,1980-8-1,00151000000000000000,四川省,00333333300000038000,四川省巫山师范学校,00333333300000038000,
00250000000041421000,00250000000041421001,9578791_1,1987-9-1,1990-6-1,00143092100000000000,益阳市南县,00333333300000037000,西南师范大学,00333333300000037000,
00250000000041421000,00250000000041421002,9578791_2,1996-10-1,1997-1-1,00190000100000000000,万县,00333333300000191000,市委党校,00333333300000191000,
