id_index,officer_name,place_of_birth_id
"00200000000010606000","鹿成滨","00100000000000000000"
"00200000000010617000","纯一法师","00100000000000000000"
"00200000000010633000","权色","00100000000000000000"
"00200000000010637000","王长洪","00100000000000000000"
"00200000000010638000","龙子平","00100000000000000000"
"00200000000010646000","牛学有","00100000000000000000"
"00200000000010648000","冯甲伟","00100000000000000000"
"00200000000010658000","程军","00100000000000000000"
"00200000000010660000","钱志亮","00100000000000000000"
"00200000000010661000","陈云滚","00100000000000000000"
"00200000000010676000","万多波","00100000000000000000"
"00200000000010688000","张宝宗","00100000000000000000"
"00200000000010693000","付秀杰","00100000000000000000"
"00200000000010694000","常国丽","00100000000000000000"
"00200000000010738000","叶丽琳","00100000000000000000"
"00200000000010739000","刘运来","00100000000000000000"
"00200000000010753000","林肃","00100000000000000000"
"00200000000010754000","杨佩昌","00100000000000000000"
"00200000000010771000","祖雷鸣","00100000000000000000"
"00200000000010777000","张康明","00100000000000000000"
"00200000000010787000","吴久鸿","00100000000000000000"
"00200000000010802000","吴万善","00100000000000000000"
"00200000000010819000","吕永敬","00100000000000000000"
"00200000000010826000","何为荣","00100000000000000000"
"00200000000010831000","佟缊","00100000000000000000"
"00200000000010858000","孙宏光","00100000000000000000"
"00200000000010863000","刘焕鑫","00100000000000000000"
"00200000000010877000","石季壮","00100000000000000000"
"00200000000010890000","尉永久","00100000000000000000"
"00200000000010897000","佟玉华","00100000000000000000"
"00200000000010900000","于国平","00100000000000000000"
"00200000000010905000","李跃","00100000000000000000"
"00200000000010906000","高新才","00100000000000000000"
"00200000000010911000","温佩琪","00100000000000000000"
"00200000000010922000","周洪江","00100000000000000000"
"00200000000010930000","赵品华","00100000000000000000"
"00200000000010939000","孙子宇","00100000000000000000"
"00200000000010943000","宋世存","00100000000000000000"
"00200000000010964000","张喜凡","00100000000000000000"
"00200000000010971000","陈士宽","00100000000000000000"
"00200000000010972000","胡运成","00100000000000000000"
"00200000000010976000","孙锋波","00100000000000000000"
"00200000000010981000","雷瑞","00100000000000000000"
"00200000000010982000","郭绍伟","00100000000000000000"
"00200000000010985000","赵月枝","00100000000000000000"
"00200000000011017000","麻天阔","00100000000000000000"
"00200000000011019000","庞为","00100000000000000000"
"00200000000011026000","韩奉财","00100000000000000000"
"00200000000011036000","马维忠","00100000000000000000"
"00200000000011047000","周之虎","00100000000000000000"
"00200000000011048000","一把手","00100000000000000000"
"00200000000011049000","汪世宏","00100000000000000000"
"00200000000011058000","戴晓凤","00100000000000000000"
"00200000000011060000","苟于洋","00100000000000000000"
"00200000000011062000","李宏男","00100000000000000000"
"00200000000011074000","宫少林","00100000000000000000"
"00200000000011083000","曾文仲","00100000000000000000"
"00200000000011085000","徐茂龙","00100000000000000000"
"00200000000011096000","刘生礼","00100000000000000000"
"00200000000011099000","徐沪滨","00100000000000000000"
"00200000000011102000","吴敏苏","00100000000000000000"
"00200000000011129000","彭武策","00100000000000000000"
"00200000000011159000","王印","00100000000000000000"
"00200000000011169000","吕春风","00100000000000000000"
"00200000000011210000","计斌","00100000000000000000"
"00200000000011225000","姚贵宝","00100000000000000000"
"00200000000011242000","戚怀民","00100000000000000000"
"00200000000011276000","孙军民","00100000000000000000"
"00200000000011281000","任新钢","00100000000000000000"
"00200000000011304000","晋洪生","00100000000000000000"
"00200000000011308000","徐直军","00100000000000000000"
"00200000000011313000","杜少华","00100000000000000000"
